timestamp_unix,elapsed_s,drill_name,iteration,step_index,expected_action,detected_action,correct,attempts_left,failures,combo_complete,source,confidence
1770369970.2912421,4.300,1-1-2 Combo,0,1,jab,jab,1,3,0,0,color_tracking,
1770369971.1945598,5.203,1-1-2 Combo,0,2,jab,cross,0,2,1,0,color_tracking,
1770369973.6245937,2.427,1-1-2 Combo,0,1,jab,jab,1,2,1,0,color_tracking,
1770369974.5588088,3.361,1-1-2 Combo,0,2,jab,jab,1,2,1,0,color_tracking,
1770369975.4915168,0.000,1-1-2 Combo,1,3,cross,cross,1,2,1,1,color_tracking,
1770369977.0587707,1.567,1-1-2 Combo,1,1,jab,jab,1,2,1,0,color_tracking,
1770369977.932082,2.441,1-1-2 Combo,1,2,jab,jab,1,2,1,0,color_tracking,
1770369978.832818,0.000,1-1-2 Combo,2,3,cross,cross,1,2,1,1,color_tracking,
1770369980.6650317,1.832,1-1-2 Combo,2,1,jab,jab,1,2,1,0,color_tracking,
1770369981.5336244,2.701,1-1-2 Combo,2,2,jab,jab,1,2,1,0,color_tracking,
1770369982.4049819,0.000,1-1-2 Combo,3,3,cross,cross,1,2,1,1,color_tracking,
1770370152.2630224,169.858,1-1-2 Combo,3,1,jab,jab,1,2,1,0,color_tracking,
1770370152.6624777,170.257,1-1-2 Combo,3,2,jab,jab,1,2,1,0,color_tracking,
1770370153.0683954,170.663,1-1-2 Combo,3,3,cross,jab,0,1,2,0,color_tracking,
1770370153.472526,0.404,1-1-2 Combo,3,1,jab,jab,1,1,2,0,color_tracking,
1770370329.6068604,176.538,1-1-2 Combo,3,2,jab,jab,1,1,2,0,color_tracking,
